71.210.217.25	90000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
174.252.38.144	999999
174.254.176.201	8899
184.162.121.10	68
202.81.18.30	58
65.96.176.77	33.23
96.244.243.221	24
98.24.125.117	23
12.207.16.194	23
65.96.180.38	20
50.0.160.40	20
24.205.216.167	16
87.156.59.225	12
173.80.29.65	12
173.247.203.162	12
75.144.137.185	8
24.128.245.107	7.16
71.251.179.134	7
99.236.45.201	5
121.98.217.82	5
99.111.202.180	2
76.5.67.83	2
218.247.12.222	2
70.113.90.46	1
203.217.64.210	1
192.150.10.200	1
69.107.93.138	0.5
96.50.19.8	0
95.113.147.207	0
75.34.177.57	0
75.170.149.177	0
71.141.121.222	0
59.154.92.34	0
216.239.45.4	0
174.252.38.144	
173.241.26.189	0
166.250.0.204	0
